[2022-08-08 23:34:35.711031][Task_List] ['receive_energy', 'mission_explore', 'shopping', 'mission_arena', 'mission_gashapon', 'mission_guild', 'mission_dungeons', 'mission_princess_arena', 'mission_complete']
[2022-08-08 23:34:35.765719][Task] initial
[2022-08-08 23:34:35.768649][Task] <click> blank_button
[2022-08-08 23:34:35.773532][initial][blank_button][click] (0, 1.0)
[2022-08-08 23:34:35.780368][initial][blank_button][idle] 11.75 seconds
[2022-08-08 23:34:42.090244][Task_List] ['receive_energy', 'mission_gashapon', 'shopping', 'mission_guild', 'mission_dungeons', 'mission_explore', 'mission_arena', 'mission_princess_arena', 'mission_complete']
[2022-08-08 23:34:42.097080][Task] initial
[2022-08-08 23:34:42.100011][Task] <click> blank_button
[2022-08-08 23:34:42.103918][initial][blank_button][click] (0, 0)
[2022-08-08 23:34:42.110752][initial][blank_button][idle] 10.51 seconds
[2022-08-08 23:34:52.626343][Task] receive_energy
[2022-08-08 23:34:52.630249][Task] <click> home_button
[2022-08-08 23:34:52.633180][receive_energy][home_button][click] (830.0, 694.0)
[2022-08-08 23:34:52.639039][receive_energy][home_button][idle] 6.14 seconds
[2022-08-08 23:34:58.782228][Task] <click> receive_button
[2022-08-08 23:34:58.792971][receive_energy][receive_button][click] (1199.0, 562.0)
[2022-08-08 23:34:58.800783][receive_energy][receive_button][idle] 3.71 seconds
[2022-08-08 23:35:02.513782][Task] <click> blank_button
[2022-08-08 23:35:02.531360][receive_energy][blank_button][click] (66.0, 37.0)
[2022-08-08 23:35:02.538197][receive_energy][blank_button][idle] 4.15 seconds
[2022-08-08 23:35:06.692144][Task] mission_gashapon
[2022-08-08 23:35:06.695078][Task] <click> gashapon_button
[2022-08-08 23:35:06.697031][mission_gashapon][gashapon_button][click] (985.0, 700.0)
[2022-08-08 23:35:06.703849][mission_gashapon][gashapon_button][idle] 6.74 seconds
[2022-08-08 23:35:13.448206][Task] <click> blank_button
[2022-08-08 23:35:13.457001][mission_gashapon][blank_button][click] (52.0, 141.0)
[2022-08-08 23:35:13.465966][mission_gashapon][blank_button][idle] 3.01 seconds
[2022-08-08 23:35:16.479351][Task] <click> normal_button
[2022-08-08 23:35:16.495953][mission_gashapon][normal_button][click] (1185.0, 105.0)
[2022-08-08 23:35:16.502790][mission_gashapon][normal_button][idle] 6.92 seconds
[2022-08-08 23:35:23.425880][Task] <click> free_button
[2022-08-08 23:35:23.466897][mission_gashapon][free_button][click] (941.0, 461.0)
